충전소아이디,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처,등록일자
863,첫마을3단지,세종특별자치시 한솔동 950,지하주차장,36.479601,127.260716,24시간,1899-2100,2017-07-04
700,목동트윈빌,서울특별시 양천구 목동 905-22,지하3층 바로 좌측 A02 기둥,37.53217608,126.8767428,24시간,1899-2100,2017-07-04
707,푸른마을2단지,서울특별시 양천구 신정동 1281,지하주차장 3층/ a02기둥,37.513507,126.834917,24시간,1899-2100,2017-07-04
709,화곡초록 아파트,서울특별시 강서구 화곡동 1139,103동 입구 주차장 지하1층,37.54528048,126.8329698,24시간,1899-2100,2017-07-04
711,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,지하3층(변전실에서40m),37.49339228,126.927819,24시간,1899-2100,2017-07-04
712,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190,지하2층 변전실B1에서 100m 213 기둥,37.49096018,126.9715998,24시간,1899-2100,2017-07-04
717,방배3차e편한세상,서울특별시 서초구 방배동 797-30,지하주차장/B1-502,37.49438715,126.9919893,24시간,1899-2100,2017-07-04
871,EG스위트밸리3차 아파트,광주광역시 광산구 소촌동 232-6,(실내지하)주차장 입구 좌측,35.15879028,126.7938309,24시간,1899-2100,2017-07-04
897,양덕우성아파트,경상남도 창원시 마산회원구 양덕동 888-1,103동앞 지하주차장,35.228797,128.577717,24시간,1899-2100,2017-07-04
898,진동한일유앤아이프라임아파트,경상남도 창원시 마산합포구 진동면 진동리 592,지하2층주차장 K26기둥,35.12122,128.488638,24시간,1899-2100,2017-07-04
899,개나리1차,경상남도 창원시 성산구 대방동 357,103동 뒤 주차장,35.21316974,128.7084738,24시간,1899-2100,2017-07-04
904,거제엘크루랜드마크,경상남도 거제시 옥포동 308,101동 지상주차장 C04기둥,34.88840822,128.6909392,24시간  ※외부인 개방,1899-2100,2017-07-04
821,용산아크로타워,서울특별시 용산구 문배동 백범로90길 26,용산아크로타워아파트 지하,37.536829,126.968616,24시간,1899-2100,2017-07-04
860,도램마을9단지,세종특별자치시 도담동 855,지하주차장,36.50984,127.263807,24시간,1899-2100,2017-07-04
752,망포한양수자인,경기도 수원시 영통구 망포동 723,B1F V64,37.24053251,127.057336,24시간,1899-2100,2017-07-04
806,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21,구내주차장,37.638969,127.041149,24시간,1899-2100,2017-07-04
791,금호자이1차,서울특별시 성동구 금호동2가 금호로 117,지하주차장,37.55235,127.023167,24시간,1899-2100,2017-07-04
703,부영그린타운2차,서울특별시 양천구 목동 908-28,지하6층,37.53637563,126.8811259,24시간,1899-2100,2017-07-04
886,금정산쌍용예가1차 아파트,부산광역시 금정구 장전동 732,지하,35.24242403,129.0843642,24시간,1899-2100,2017-07-04
807,화랑타운,서울특별시 노원구 공릉동 화랑로51길 17,"지하1층 주차장 입구,105동 앞",37.623527,127.088218,24시간,1899-2100,2017-07-04
896,구평한신휴플러스,부산광역시 사하구 구평동 497,"104동 지하1,2 02번 주차장",35.08636471,128.9849736,24시간  ※외부인 개방,1899-2100,2017-07-04
686,동두천부영6단지 아파트,경기도 동두천시 생연동 715-7,605동 지하주차장,37.89671097,127.0548368,24시간,1899-2100,2017-07-04
851,영동설계주공 아파트,충청북도 영동군 영동읍 설계리 886,102동 옆 주차장,36.188582,127.780958,24시간,1899-2100,2017-07-04
792,리버그린동아 아파트,서울특별시 성동구 응봉동 고산자로4길 34,지하주차장,37.55332,127.037354,24시간,1899-2100,2017-07-04
702,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,505동506동 사이 지상주차장,37.57680268,126.8102855,24시간,1899-2100,2017-07-04
880,우미이노스빌,전라남도 여수시 선원동 1341,(실외완전노출) 관리사무소 앞,34.76246781,127.6513163,24시간,1899-2100,2017-07-04
840,마산동 김포한강상록데시앙 아파트,경기도 김포시 마산동 672-6,"지하2층 블럭번호 B17, D17",37.636992,126.641893,24시간,1899-2100,2017-07-04
814,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15,지하주차장2층A11기둥,37.519278,126.970777,24시간,1899-2100,2017-07-04
852,센트럴자이1단지 아파트,대전광역시 중구 대흥동 912,103동 지하1층 주차장,36.32223475,127.4277299,24시간,1899-2100,2017-07-04
754,비단마을베스트타운,경기도 수원시 장안구 천천동 정자로42번길 52,P3주차장 B1F,37.297605,126.980977,24시간,1899-2100,2017-07-04
683,진접센트레빌1단지,경기도 남양주시 진접읍 부평리 764,B2 108동,37.73919617,127.198891,24시간,1899-2100,2017-07-04
761,세양청마루아파트,경기도 의왕시 내손동 401-1,B2F,37.38884389,126.9748361,24시간,1899-2100,2017-07-04
828,롯데캐슬베네치아,서울특별시 중구 황학동 청계천로 400,지상3층주차장 마3 기둥,37.571042,127.020992,24시간,1899-2100,2017-07-04
740,래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12,지하주차장 들어가서 바로 우측,37.50151245,127.0654757,24시간,1899-2100,2017-07-04
744,판교 알파리움2단지,경기도 성남시 분당구 백현동 530,지하 2층 주차장,37.39358975,127.1084372,24시간,1899-2100,2017-07-04
699,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,지하1층 좌측 C07 기둥,37.564093,126.818064,24시간,1899-2100,2017-07-04
861,범지기마을12단지,세종특별자치시 아름동 1276,지하주차장,36.511953,127.251742,24시간,1899-2100,2017-07-04
831,꿈의숲대명루첸 아파트,서울특별시 성북구 장위동 317,B1층 103동 3-5호 B-31기둥,37.620405,127.047524,24시간,1899-2100,2017-07-04
722,서초네이처힐6단지,서울특별시 서초구 우면동 737,지하주차장/B1-19,37.46184725,127.0262574,24시간,1899-2100,2017-07-04
742,샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,105동 108동 사이 지하주차장,37.48520065,127.0826748,24시간,1899-2100,2017-07-04
776,동백금호어울림타운하우스 2단지,경기도 용인시 기흥구 중동 863,B1F C07,37.27258698,127.156683,24시간,1899-2100,2017-07-04
779,동아솔레시티아파트,경기도 용인시 기흥구 보정동 1162,"B1 107동 3,4호쪽",37.31153397,127.1126299,24시간,1899-2100,2017-07-04
801,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5,지하1층 전기실앞(i-1-B9),37.657365,127.024179,24시간,1899-2100,2017-07-04
818,성지(주상복합) 아파트,서울특별시 마포구 도화동 큰우물로 75,성지아파트 지상주차장,37.541242,126.94639,24시간,1899-2100,2017-07-04
820,용산시티파크1단지,서울특별시 용산구 한강로3가 서빙고로 35,용산시티파크1단지아파트 지하,37.52434,126.970394,24시간,1899-2100,2017-07-04
830,종로센트레빌,서울특별시 종로구 숭인동 동망산길 47,102동 지하4층주차장 E17기둥,37.580628,127.016222,24시간,1899-2100,2017-07-04
839,장기동 KCC 스위첸 아파트,경기도 김포시 장기동 1886-2,지하1층 블럭번호 D66,37.645397,126.663083,24시간,1899-2100,2017-07-04
892,뜨란채 아파트,경상남도 김해시 외동 1250-1,지상주차장(319동앞),35.23286153,128.862434,24시간  ※외부인 개방,1899-2100,2017-07-04
825,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11,한강삼성아파트 지하,37.539554,126.941169,24시간,1899-2100,2017-07-04
842,운양동 풍경마을 래미안 한강2차,경기도 김포시 운양동 1304-5,지하2층 블럭번호 187(513동 앞,37.652549,126.674391,24시간,1899-2100,2017-07-04
846,대동황토방 아파트,강원특별자치도 횡성군 횡성읍 읍하리 518,지하주차장 입구 옆 지상주차장,37.49389113,127.9870377,24시간,1899-2100,2017-07-04
800,롯데우성 아파트,서울특별시 노원구 중계동 361-1,103동 앞 지하주차장 2층,37.646994,127.073504,24시간,1899-2100,2017-07-04
706,우당 아파트,서울특별시 양천구 신월동 506-1,지하4층,37.5230639,126.8478477,24시간,1899-2100,2017-07-04
833,동일하이빌뉴시티 아파트,서울특별시 성북구 하월곡동 88-387,B3층 104동,37.604609,127.031071,24시간,1899-2100,2017-07-04
760,동편마을3단지아파트,경기도 안양시 동안구 관양동 1651,B1F 좌측,37.41308285,126.9703714,24시간,1899-2100,2017-07-04
773,신동탄SK뷰파크,경기도 화성시 반월동 944,지하주차장 입구 우측 방면,37.222437,127.057367,24시간,1899-2100,2017-07-04
816,래미안첼리투스,서울특별시 용산구 이촌동 이촌로 300,지하주차장 3층,37.516747,126.97943,24시간,1899-2100,2017-07-04
808,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,주차장,37.57264899,126.9105508,24시간(입주민전용),1899-2100,2017-07-04
809,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,지하2주차장,37.57639439,126.9145268,24시간(입주민전용),1899-2100,2017-07-04
770,금강에스쁘아아파트,경기도 화성시 남양읍 남양리 2005,103동 앞 지상주차장,37.2109268,126.8015007,24시간  ※외부인 개방,1899-2100,2017-07-04
781,래미안이스트팰리스3단지아파트,경기도 용인시 수지구 동천동 932,F1 008,37.33404626,127.0887145,24시간,1899-2100,2017-07-04
782,신동아파밀리에,경기도 용인시 기흥구 영덕동 1069,B2 A25,37.27156991,127.0840863,24시간,1899-2100,2017-07-04
788,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,1010동 지하주차장 2층,37.57596458,127.0753501,24시간,1899-2100,2017-07-04
795,행당한진타운,서울특별시 성동구 행당동 행당로 82,지하주차장,37.555215,127.028245,24시간,1899-2100,2017-07-04
780,래미안 수지 이스트파크,경기도 용인시 수지구 풍덕천동 1198,P2 47,37.32916198,127.0999713,24시간,1899-2100,2017-07-04
798,동신 아파트,서울특별시 노원구 공릉동 공릉로 213,지하2층(2-차),37.628447,127.076946,24시간,1899-2100,2017-07-04
745,판교원마을12단지,경기도 성남시 분당구 판교동 494,지하 2층 주차장,37.39990966,127.0928109,24시간,1899-2100,2017-07-04
741,삼성동 에스케이뷰 아파트,서울특별시 강남구 삼성동 봉은사로109길 14-8,지하2층 출구 앞,37.5163181,127.0648642,24시간,1899-2100,2017-07-04
848,이노밸리 아파트,충청북도 음성군 맹동면 학예로 55,"505동 1,2라인 지하1층주차장 B30",36.914035,127.542557,24시간  ※외부인 개방,1899-2100,2017-07-04
877,송월주공 아파트,전라남도 나주시 송월동 660,주차장,35.02721143,126.7139975,24시간,1899-2100,2017-07-04
810,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,지하주차장,37.58125966,126.9515063,24시간(입주민전용),1899-2100,2017-07-04
827,동성빌라,서울특별시 종로구 구기동 비봉2길 32,지상주차장 2동,37.611634,126.958662,24시간,1899-2100,2017-07-04
836,한신휴아파트,서울특별시 성북구 동소문동7가 23,B3층 118동 1-2호 10번기둥,37.595328,127.014314,24시간,1899-2100,2017-07-04
900,대동중앙 아파트,경상남도 창원시 의창구 팔용동 124-2,옥외주차장,35.25491178,128.6164226,24시간(아파트 입주자만 이용가능),1899-2100,2017-07-04
721,서초네이처힐1단지,서울특별시 서초구 우면동 707,지하주차장/B1-102동08,37.46362788,127.0205328,24시간,1899-2100,2017-07-04
723,서초네이처힐7단지,서울특별시 서초구 우면동 735,지하주차장/B2-05,37.46205505,127.0235786,24시간,1899-2100,2017-07-04
724,서초롯데캐슬84,서울특별시 서초구 서초동 1642-14,지하2층 주차장/H-9,37.49260559,127.0184137,24시간,1899-2100,2017-07-04
743,타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56,지하5층 96기둥,37.48806826,127.0534829,24시간,1899-2100,2017-07-04
763,태산아파트,경기도 안성시 공도읍 용두리 683,101동 옆 지상주차장,37.00067111,127.1538551,24시간,1899-2100,2017-07-04
854,연무기산 아파트,충청남도 논산시 연무읍 동산리 903-17,단지외곽 지상주차장,36.13385893,127.1014779,24시간,1899-2100,2017-07-04
857,가락마을22,세종특별자치시 고운동 1387,지하주차장,36.519406,127.239776,24시간,1899-2100,2017-07-04
859,도램마을20단지,세종특별자치시 도담동 633,지하주차장,36.517034,127.263254,24시간,1899-2100,2017-07-04
864,첫마을6단지,세종특별자치시 한솔동 974,지상주차장(입구 관리소 옆),36.475599,127.253035,24시간,1899-2100,2017-07-04
865,진흥w-parkd 아파트,충청남도 태안군 태안읍 남문리 90-10,지하주차장,36.745969,126.297007,24시간,1899-2100,2017-07-04
875,화순광신프로그레스 아파트,전라남도 화순군 화순읍 대리 935,(실내지하) 지하1층 104동 주차장,35.0587416,126.9771426,24시간,1899-2100,2017-07-04
882,화성리버빌2차 아파트,경상북도 영주시 대학로142번길 39,지상주차장(관리사무소 옆),36.811342,128.609983,24시간  ※외부인 개방,1899-2100,2017-07-04
888,사직 삼환나우빌,부산광역시 동래구 사직동 1019,지하,35.20021921,129.0556164,24시간,1899-2100,2017-07-04
758,호수공원아파트,경기도 안산시 단원구 고잔동 720,B1F 다5 123,37.30679071,126.823958,24시간,1899-2100,2017-07-04
714,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22,지하2층(106동 18번 기둥),37.49463472,126.9819658,24시간,1899-2100,2017-07-04
762,산수화아파트,경기도 안성시 원곡면 반제리 743,101동 뒤 지상주차장,37.00412197,127.1519747,24시간,1899-2100,2017-07-04
738,도곡대림아크로빌,서울특별시 강남구 도곡동 언주로30길 13,지하5층 10번 기둥,37.48814158,127.0506742,24시간,1899-2100,2017-07-04
746,판교푸르지오월드마크,경기도 성남시 분당구 삼평동 741,지하 4층 주차장,37.39552304,127.1136491,24시간,1899-2100,2017-07-04
747,힐스테이트위례,경기도 성남시 수정구 창곡동 572,지하4층 주차장,37.46541106,127.1445245,24시간,1899-2100,2017-07-04
749,e편한세상센트레빌 1단지,경기도 광명시 하안동 864,B2F B21,37.46833325,126.8677354,24시간,1899-2100,2017-07-04
748,동원로얄듀크아파트,경기도 하남시 풍산동 477,2207동 지하1층 주차장,37.55449869,127.1827717,24시간,1899-2100,2017-07-04
893,월산마을6단지,경상남도 김해시 부곡동 802-7,지하주차장(602동앞A9기둥),35.20626603,128.8016732,24시간  ※외부인 개방,1899-2100,2017-07-04
843,한강신도시 푸르지오 아파트,경기도 김포시 운양동 1407-5,지하2층 블럭번호 B2 04(502동,37.648697,126.677469,24시간,1899-2100,2017-07-04
733,신구로자이 아파트,서울특별시 구로구 구로동 501,지상8층 주차장,37.49992886,126.8844508,24시간,1899-2100,2017-07-04
878,럭키광무 아파트,전라남도 여수시 광무동 928-14,(실외캐노피기설) 6동 뒷편 주차장,34.75478009,127.723165,24시간,1899-2100,2017-07-04
885,거제동월드메르디앙 아파트,부산광역시 연제구 거제동 1468-1,지하,35.19355936,129.082522,24시간,1899-2100,2017-07-04
891,반도유보라3차,경상남도 양산시 물금읍 범어리 2785-4,펌프실 앞 지하2층,35.31512319,129.0082735,24시간,1899-2100,2017-07-04
692,송파현대힐스테이트,서울특별시 송파구 풍납동 풍성로26길 31,지하1층 (좌) B8 기둥,37.531242,127.118256,24시간,1899-2100,2017-07-04
894,장유쌍용예가1차 아파트,경상남도 김해시 신문동 530-2,지상주차장(107동 108동 사이),35.19431537,128.8154749,24시간  ※외부인 개방,1899-2100,2017-07-04
901,성원2차,경상남도 창원시 성산구 남양동 22,"207동,209동 사이 주차장",35.21225779,128.7034363,24시간  ※외부인 개방,1899-2100,2017-07-04
732,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1,지하1층 307동 기둥번호 1-30,37.50552561,126.895752,24시간,1899-2100,2017-07-04
751,e편한세상센트레빌2단지,경기도 광명시 하안동 864,지하주차장,37.4665271,126.868072,24시간,1899-2100,2017-07-04
757,조원주공뉴타운2단지,경기도 수원시 장안구 조원동 금당로39번길 34,제4주차장 208동앞 1F,37.302389,127.01959,24시간,1899-2100,2017-07-04
691,송파성원상떼빌,서울특별시 송파구 가락동 송파대로28길 27,지하4층 직진 출구앞 (B01) 기둥,37.494885,127.120093,24시간,1899-2100,2017-07-04
739,래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20,206동 지하2층 주차장,37.496565,127.04824,24시간,1899-2100,2017-07-04
715,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34,"지하주차장/B1-101동 1,2호라인",37.49238408,127.0175554,24시간,1899-2100,2017-07-04
713,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37,102동 지하2층 우측 (변전실에서 30m),37.506025,126.935483,24시간,1899-2100,2017-07-04
687,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,(쌍용어린이집 뒷편) 202동 제3주차장 지하1층,37.49469877,127.1292251,24시간,1899-2100,2017-07-04
698,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,지하2층 A233 기둥,37.56853192,126.8197196,24시간,1899-2100,2017-07-04
704,신월해주 아파트,서울특별시 양천구 신월동 217-8,"지하주차장 2층 (좌회전2번,우측벽)",37.52705741,126.8346395,24시간,1899-2100,2017-07-04
727,서초힐스 아파트,서울특별시 서초구 우면동 773,지하주차장/B1-C49,37.45760689,127.0175687,24시간,1899-2100,2017-07-04
729,고척LIG리가 아파트,서울특별시 구로구 고척동 340,지하2층 주차번호 B03(전기실앞),37.50569765,126.8615056,24시간,1899-2100,2017-07-04
734,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,지하주차장 1층 101동,37.50513979,126.9145979,24시간,1899-2100,2017-07-04
1008,남산센트럴자이,서울특별시 중구 충무로4가 퇴계로 235,지하7층 주차장,37.56247,126.997827,24시간,1899-2100,2017-07-09
965,보훈복지타운아파트,경기도 수원시 장안구 조원동 476-1,107동 앞 B1F,37.29927817,127.0225651,24시간  ※외부인 개방,1899-2100,2017-07-09
968,금광베네스타,경기도 용인시 처인구 이동읍 천리 1134,제2지하주차장 104동 앞 B1F 11,37.200218,127.208058,24시간  ※외부인 개방,1899-2100,2017-07-09
969,에이스카운티,경기도 용인시 처인구 이동읍 천리 1142,103동 B1F 02,37.201664,127.20861,24시간  ※외부인 개방,1899-2100,2017-07-09
974,권선신일유토빌,경기도 수원시 권선구 곡반정동 548,B1F 주차구역 O16,37.240258,127.030144,24시간,1899-2100,2017-07-09
977,광교마을 45단지 아파트,경기도 용인시 수지구 상현동 1113,P2 B18,37.297756,127.0645588,24시간,1899-2100,2017-07-09
979,면목두원 아파트,서울특별시 중랑구 면목동 1521,지하주차장 2층,37.57342346,127.0797942,24시간,1899-2100,2017-07-09
983,광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44,후문주차장,37.530042,127.09034,24시간,1899-2100,2017-07-09
1178,연동2차미화주택,제주특별자치도 제주시 연동 326-2,주차장,33.48376055,126.5006237,24시간,1899-2100,2017-07-09
1201,제주한림LH 아파트,제주특별자치도 제주시 한림읍 대림리 1885,주차장,33.4194319,126.266168,24시간,1899-2100,2017-07-09
914,숲속마을6단지 두산위브,경기도 고양시 일산동구 풍동 1268,"609동 지하주차장 1층, 우측 끝",37.66876271,126.7958715,24시간,1899-2100,2017-07-09
916,일산파밀리에3단지,경기도 고양시 일산서구 덕이동 1534,지하주차장 3층 C56,37.7005083,126.755669,24시간,1899-2100,2017-07-09
921,삼익파크힐스,"경기도 남양주시 화도읍 비룡로116번길 40 (묵현리, 삼익파크힐스아파트)","언덕 위 지하주차장 1층, 뒷부분 안쪽 (B3 초록기둥 07)",37.665755,127.306373,24시간  ※외부인 개방,1899-2100,2017-07-09
922,평내마을 주공 아파트,"경기도 남양주시 평내로 46 (평내동, 평내마을주공아파트)","정문출입 후, 언덕직진하면 나오는 지하주차장 1층 좌측",37.64013103,127.2340358,24시간  ※외부인 개방,1899-2100,2017-07-09
925,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,602동 앞 지하1층 우회전 150미터 B25 기둥,37.564461,127.175877,24시간,1899-2100,2017-07-09
930,양천벽산블루밍 아파트,서울특별시 양천구 신월동 1026,2단지 지하1층 21기둥,37.525121,126.838868,24시간,1899-2100,2017-07-09
931,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16,지하7층,37.49127438,126.924094,24시간,1899-2100,2017-07-09
936,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1,지하2층 주차장,37.47066395,126.9645625,24시간,1899-2100,2017-07-09
937,롯데캐슬헤론,서울특별시 서초구 방배동 754-1,주차장/B2-38,37.49699575,126.9847245,24시간,1899-2100,2017-07-09
945,개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15,107동 1-2호 입구 앞 지하주차장,37.49324368,127.0791149,24시간,1899-2100,2017-07-09
1093,코아루천년가 아파트,전라남도 목포시 옥암동 1312,(실내지하) 106동 3-4라인 c7,34.80873596,126.4528802,24시간,1899-2100,2017-07-09
1098,완도진아리채 아파트,"전라남도 완도군 완도읍 청해진동로 5 (군내리, 진아리채아파트)",(실외완전노출) 103동 차량진입로,34.313834,126.740379,24시간,1899-2100,2017-07-09
1101,대구효성해링턴플레이스,대구광역시 중구 남산동 3006,106동 지하주차장,35.861471,128.594499,24시간  ※외부인 개방,1899-2100,2017-07-09
1114,율하우방아이유쉘,"대구광역시 동구 금호강변로3길 22 (율하동, 우방아이유쉘아파트)",지하 1층 B1 42구역,35.868946,128.687756,24시간,1899-2100,2017-07-09
1116,무거위브자이 아파트,울산광역시 남구 무거동 1594,107동 뒷 지하B2/11,35.55346169,129.2654489,24시간,1899-2100,2017-07-09
1123,양산신도시쌍용 아파트,경상남도 양산시 남부동 601-1,지하주차장 C구역,35.33376291,129.0302039,24시간,1899-2100,2017-07-09
1126,김해구산주공5단지,경상남도 김해시 구산동 410,지하주차장(504동앞),35.25184603,128.8742148,24시간  ※외부인 개방,1899-2100,2017-07-09
1129,월산11주공,경상남도 김해시 부곡동 805-1,지상주차장(관리동옆),35.2040868,128.8030129,24시간  ※외부인 개방,1899-2100,2017-07-09
1131,진영자이 아파트,경상남도 김해시 진영읍 진영리 1610,지하주차장(311동앞),35.30906198,128.7284518,24시간  ※외부인 개방,1899-2100,2017-07-09
1134,사천대경파미르 아파트,경상남도 사천시 사천읍 사천향교로 13,단지바깥 105동옆 지하주차장,35.085649,128.099764,24시간  ※외부인 개방,1899-2100,2017-07-09
1137,가호에일린의뜰,경상남도 진주시 가좌동 강변길 31,102동 34라인앞 지하2층주차장 2-02기둥,35.165494,128.108752,24시간,1899-2100,2017-07-09
1141,평거휴먼시아3단지,경상남도 진주시 평거동 새평거로 111,키즈어린이집 왼쪽 지하1층주차장 들어가 바로오른쪽,35.169873,128.058793,24시간  ※외부인 개방,1899-2100,2017-07-09
1182,오하임타운하우스,제주특별자치도 제주시 오라이동 3140,주차장,33.4843657,126.5021492,24시간,1899-2100,2017-07-09
1185,제일빌리지,제주특별자치도 제주시 애월읍 광령리 43,주차장,33.46238102,126.4450498,24시간,1899-2100,2017-07-09
1186,제일일출연립주택,제주특별자치도 제주시 해안동 2344,주차장,33.46428674,126.4506412,24시간,1899-2100,2017-07-09
1189,제주도련LH 아파트,제주특별자치도 제주시 도련일동 1618,주차장,33.50786832,126.5889944,24시간,1899-2100,2017-07-09
1193,제주아라LH 아파트,제주특별자치도 제주시 아라일동 6136,주차장,33.47303664,126.5469025,24시간,1899-2100,2017-07-09
1194,제주아라스위첸 아파트,제주특별자치도 제주시 아라일동 6088,주차장,33.4735475,126.5428799,24시간,1899-2100,2017-07-09
1202,제주화북3LH 아파트,제주특별자치도 제주시 화북일동 9-1,주차장,33.51983166,126.5775273,24시간,1899-2100,2017-07-09
1204,해오름 아파트,제주특별자치도 제주시 노형동 732-1,주차장,33.48021359,126.4865891,24시간,1899-2100,2017-07-09
1206,현대3차 아파트,제주특별자치도 제주시 용담이동 619,주차장,33.51091046,126.5102269,24시간,1899-2100,2017-07-09
1209,화북1 아파트,제주특별자치도 제주시 화북일동 10-1,구내주차장,33.52025588,126.5750572,24시간,1899-2100,2017-07-09
1121,범어현대 아파트,경상남도 양산시 물금읍 범어리 682-1,"101, 102동 사이 주차장",35.33338962,129.0068021,24시간,1899-2100,2017-07-09
1142,한주럭키타운,경상남도 진주시 주약동 156,7동10동 사이 지상주차장,35.17628,128.090592,24시간  ※외부인 개방,1899-2100,2017-07-09
1147,동원우성 빌라트,경상남도 거제시 옥포동 753,지하2층 주차장,34.89421619,128.697465,24시간  ※외부인 개방,1899-2100,2017-07-09
1148,미진참사랑,경상남도 거제시 아주동 370-1,관리사무소 앞 지하주차장,34.86415056,128.694094,24시간  ※외부인 개방,1899-2100,2017-07-09
1152,건입현대 아파트,제주특별자치도 제주시 건입동 940-3,주차장,33.51684414,126.5346068,24시간,1899-2100,2017-07-09
1154,노형 대림 아파트,제주특별자치도 제주시 노형동 1290-1,주차장,33.48771141,126.4803157,24시간,1899-2100,2017-07-09
1158,노형해든빌,제주특별자치도 제주시 노형동 920-13,주차장,33.48291997,126.4815166,24시간,1899-2100,2017-07-09
1159,도남1차e-편한세상,제주특별자치도 제주시 도남동 800,주차장,33.49396,126.521533,24시간,1899-2100,2017-07-09
962,대한대우아파트,경기도 수원시 팔달구 매산로2가 90,P6주차장 124동 앞 B2F,37.26580779,127.0045541,24시간,1899-2100,2017-07-09
1167,삼부비치 아파트,제주특별자치도 제주시 삼양이동 2113-6,구내주차장,33.52377271,126.5858077,24시간,1899-2100,2017-07-09
1041,영종하늘도시한라비발디 아파트,인천광역시 중구 중산동 1887-1,지하주차장,37.491282,126.563244,24시간,1899-2100,2017-07-09
951,아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640,103동 지하3층 119기둥,37.51839681,127.0595495,24시간,1899-2100,2017-07-09
1047,매지청솔 아파트,강원특별자치도 원주시 흥업면 매지리 1934,관리사무소 뒷편 주차장,37.277922,127.910642,24시간,1899-2100,2017-07-09
942,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66,지하2층 104동 12기둥,37.51039395,126.9001778,24시간,1899-2100,2017-07-09
924,호평동원로얄듀크 아파트,경기도 남양주시 호평동 676,지하,37.65721066,127.2509122,24시간  ※외부인 개방,1899-2100,2017-07-09
911,가좌마을7단지꿈에그린한화 아파트,경기도 고양시 일산서구 가좌동 1105,지하2층 706동쪽,37.68373495,126.7218701,24시간,1899-2100,2017-07-09
927,송파파인타운10단지,서울특별시 송파구 장지동 송파대로8길 20,1005동 앞 지하1층 B05기둥,37.47813248,127.1311864,24시간,1899-2100,2017-07-09
943,천왕이펜하우스4단지 아파트,서울특별시 구로구 천왕동 천왕로 29,지하1층 404동(기둥번호 12),37.4808017,126.8385946,24시간,1899-2100,2017-07-09
971,롯데캐슬알바트로스,경기도 화성시 청계동 541,"B2F D2,17기둥",37.19569944,127.1132082,24시간,1899-2100,2017-07-09
1120,대방노블랜드 연리지2차,경상남도 양산시 물금읍 가촌리 1303-1,206동 옆 (347번 기둥),35.31261473,129.0030388,24시간,1899-2100,2017-07-09
1163,방선문2차빌리지,제주특별자치도 제주시 아라이동 930,주차장,33.47900553,126.5508564,24시간,1899-2100,2017-07-09
954,타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57,지하6층,37.48947719,127.0540357,24시간,1899-2100,2017-07-09
1019,정릉e편한세상 아파트,서울특별시 성북구 정릉동 1028,B1층 109동 3-4호 A04기둥,37.614892,127.010221,24시간,1899-2100,2017-07-09
1038,청라푸르지오 아파트,인천광역시 서구 경서동 948-1,지하1층 B38,37.534614,126.639805,24시간,1899-2100,2017-07-09
907,가능 SK-VIEW 아파트,경기도 의정부시 가능동 656-1,203동 B19 지하주차장 1층,37.74945437,127.0376714,24시간,1899-2100,2017-07-09
915,일산 두산위브더제니스,경기도 고양시 일산서구 탄현동 1640,지하3층 101동 입구뒤,37.69402013,126.7629581,24시간,1899-2100,2017-07-09
1153,금천뜨래별,제주특별자치도 제주시 아라이동 955,주차장,33.4799741,126.5531962,24시간,1899-2100,2017-07-09
1166,봉개블루힐,제주특별자치도 제주시 봉개동 1317,주차장,33.48675357,126.5996513,24시간,1899-2100,2017-07-09
